sample,experiment,wn,int
100 mA,exp1,3554.837891,2260.140381
100 mA,exp1,3554.131836,2136.039551
100 mA,exp1,3553.425781,2272.673584
100 mA,exp1,3552.719727,2309.010498
100 mA,exp1,3552.012695,2225.060547
100 mA,exp1,3551.306641,2361.601807
100 mA,exp1,3550.599609,2394.562256
100 mA,exp1,3549.893555,2273.912598
100 mA,exp1,3549.186523,2276.830566
100 mA,exp1,3548.479492,2323.13916
100 mA,exp1,3547.772461,2195.894775
100 mA,exp1,3547.064453,2232.191162
100 mA,exp1,3546.357422,2401.913818
100 mA,exp1,3545.649414,2328.091064
100 mA,exp1,3544.942383,2354.338379
100 mA,exp1,3544.234375,2420.585449
100 mA,exp1,3543.526367,2423.470947
100 mA,exp1,3542.818359,2363.030029
100 mA,exp1,3542.110352,2322.60498
100 mA,exp1,3541.401367,2342.165039
100 mA,exp1,3540.693359,2311.751709
100 mA,exp1,3539.984375,2351.288818
100 mA,exp1,3539.275391,2394.141113
100 mA,exp1,3538.566406,2333.771973
100 mA,exp1,3537.857422,2376.611328
100 mA,exp1,3537.148438,2339.563232
100 mA,exp1,3536.439453,2329.147705
100 mA,exp1,3535.730469,2368.636963
100 mA,exp1,3535.020508,2364.871826
100 mA,exp1,3534.310547,2427.61792
100 mA,exp1,3533.600586,2393.918945
100 mA,exp1,3532.890625,2293.74707
100 mA,exp1,3532.180664,2386.384033
100 mA,exp1,3531.470703,2415.848877
100 mA,exp1,3530.760742,2372.209473
100 mA,exp1,3530.049805,2441.527344
100 mA,exp1,3529.339844,2304.905518
100 mA,exp1,3528.628906,2367.568848
100 mA,exp1,3527.917969,2463.408203
100 mA,exp1,3527.207031,2439.71582
100 mA,exp1,3526.496094,2508.956299
100 mA,exp1,3525.78418,2402.311035
100 mA,exp1,3525.073242,2405.182617
100 mA,exp1,3524.361328,2394.7854
100 mA,exp1,3523.650391,2467.29834
100 mA,exp1,3522.938477,2436.999512
100 mA,exp1,3522.226562,2413.341553
100 mA,exp1,3521.514648,2416.207764
100 mA,exp1,3520.801758,2452.210693
100 mA,exp1,3520.089844,2392.117676
100 mA,exp1,3519.376953,2328.734375
100 mA,exp1,3518.665039,2387.916748
100 mA,exp1,3517.952148,2354.359619
100 mA,exp1,3517.239258,2469.797119
100 mA,exp1,3516.526367,2413.066162
100 mA,exp1,3515.813477,2439.093506
100 mA,exp1,3515.099609,2402.242188
100 mA,exp1,3514.386719,2507.659668
100 mA,exp1,3513.672852,2434.425293
100 mA,exp1,3512.958984,2476.963623
100 mA,exp1,3512.246094,2542.631104
100 mA,exp1,3511.532227,2423.14917
100 mA,exp1,3510.817383,2515.243408
100 mA,exp1,3510.103516,2561.039062
100 mA,exp1,3509.389648,2345.805664
100 mA,exp1,3508.674805,2457.682373
100 mA,exp1,3507.959961,2503.462646
100 mA,exp1,3507.246094,2321.380615
100 mA,exp1,3506.53125,2449.706543
100 mA,exp1,3505.81543,2505.36499
100 mA,exp1,3505.100586,2547.801758
100 mA,exp1,3504.385742,2520.929932
100 mA,exp1,3503.669922,2457.778564
100 mA,exp1,3502.955078,2533.184082
100 mA,exp1,3502.239258,2443.671143
100 mA,exp1,3501.523438,2436.621338
100 mA,exp1,3500.807617,2373.531982
100 mA,exp1,3500.091797,2511.519775
100 mA,exp1,3499.375,2527.528076
100 mA,exp1,3498.65918,2560.003906
100 mA,exp1,3497.942383,2536.467529
100 mA,exp1,3497.225586,2615.038086
100 mA,exp1,3496.508789,2496.006348
100 mA,exp1,3495.791992,2571.262695
100 mA,exp1,3495.075195,2524.699707
100 mA,exp1,3494.358398,2540.683594
100 mA,exp1,3493.640625,2490.852783
100 mA,exp1,3492.923828,2519.99585
100 mA,exp1,3492.206055,2637.936279
100 mA,exp1,3491.488281,2505.900391
100 mA,exp1,3490.770508,2544.887695
100 mA,exp1,3490.052734,2544.412354
100 mA,exp1,3489.334961,2593.238037
100 mA,exp1,3488.616211,2464.594482
100 mA,exp1,3487.898438,2542.986084
100 mA,exp1,3487.179688,2519.516357
100 mA,exp1,3486.460938,2519.045166
100 mA,exp1,3485.742188,2528.425049
100 mA,exp1,3485.023438,2436.026611
100 mA,exp1,3484.304688,2524.197021
100 mA,exp1,3483.585938,2602.488525
100 mA,exp1,3482.866211,2684.031982
100 mA,exp1,3482.147461,2588.392334
100 mA,exp1,3481.427734,2571.507812
100 mA,exp1,3480.708008,2610.378906
100 mA,exp1,3479.988281,2577.102783
100 mA,exp1,3479.268555,2635.626709
100 mA,exp1,3478.547852,2572.860107
100 mA,exp1,3477.828125,2497.009033
100 mA,exp1,3477.107422,2506.370117
100 mA,exp1,3476.386719,2519.003418
100 mA,exp1,3475.666992,2613.508545
100 mA,exp1,3474.946289,2563.901855
100 mA,exp1,3474.224609,2579.790527
100 mA,exp1,3473.503906,2520.388672
100 mA,exp1,3472.783203,2536.279053
100 mA,exp1,3472.061523,2408.195312
100 mA,exp1,3471.339844,2653.0979
100 mA,exp1,3470.619141,2587.184814
100 mA,exp1,3469.897461,2537.646729
100 mA,exp1,3469.174805,2625.448486
100 mA,exp1,3468.453125,2687.065674
100 mA,exp1,3467.731445,2601.584717
100 mA,exp1,3467.008789,2597.828613
100 mA,exp1,3466.286133,2623.477783
100 mA,exp1,3465.564453,2544.589355
100 mA,exp1,3464.841797,2727.000244
100 mA,exp1,3464.119141,2654.652344
100 mA,exp1,3463.395508,2517.038574
100 mA,exp1,3462.672852,2594.902344
100 mA,exp1,3461.949219,2734.741455
100 mA,exp1,3461.226562,2548.247803
100 mA,exp1,3460.50293,2727.188965
100 mA,exp1,3459.779297,2648.398438
100 mA,exp1,3459.055664,2703.33667
100 mA,exp1,3458.332031,2745.212891
100 mA,exp1,3457.607422,2630.605713
100 mA,exp1,3456.883789,2636.62915
100 mA,exp1,3456.15918,2626.357422
100 mA,exp1,3455.43457,2635.636719
100 mA,exp1,3454.709961,2703.543457
100 mA,exp1,3453.985352,2703.034668
100 mA,exp1,3453.260742,2569.027344
100 mA,exp1,3452.536133,2721.549316
100 mA,exp1,3451.810547,2623.391846
100 mA,exp1,3451.085938,2766.083252
100 mA,exp1,3450.360352,2576.853027
100 mA,exp1,3449.634766,2686.968994
100 mA,exp1,3448.90918,2660.443604
100 mA,exp1,3448.183594,2702.215088
100 mA,exp1,3447.458008,2646.436035
100 mA,exp1,3446.731445,2580.92627
100 mA,exp1,3446.005859,2684.437012
100 mA,exp1,3445.279297,2657.936279
100 mA,exp1,3444.552734,2761.393066
100 mA,exp1,3443.826172,2777.112549
100 mA,exp1,3443.099609,2698.64917
100 mA,exp1,3442.37207,2672.164795
100 mA,exp1,3441.645508,2668.414062
100 mA,exp1,3440.917969,2658.17334
100 mA,exp1,3440.191406,2813.432373
100 mA,exp1,3439.463867,2725.302002
100 mA,exp1,3438.736328,2799.394531
100 mA,exp1,3438.008789,2724.272461
100 mA,exp1,3437.280273,2720.515137
100 mA,exp1,3436.552734,2755.662354
100 mA,exp1,3435.824219,2713.003906
100 mA,exp1,3435.09668,2660.639404
100 mA,exp1,3434.368164,2786.500977
