sample,experiment,wn,int
0.5 mA,exp1,3571.12988,50506.54688
0.5 mA,exp1,3570.42676,50349.51953
0.5 mA,exp1,3569.72363,50397.29297
0.5 mA,exp1,3569.02051,50797.41016
0.5 mA,exp1,3568.31738,50583.36719
0.5 mA,exp1,3567.61426,51231.53906
0.5 mA,exp1,3566.91016,51305.93359
0.5 mA,exp1,3566.20606,50867.23438
0.5 mA,exp1,3565.50293,51468.04688
0.5 mA,exp1,3564.79883,51203.78516
0.5 mA,exp1,3564.09473,50953.02734
0.5 mA,exp1,3563.38965,50977.12891
0.5 mA,exp1,3562.68555,51349.64844
0.5 mA,exp1,3561.98145,51541.14844
0.5 mA,exp1,3561.27637,51545.02734
0.5 mA,exp1,3560.57129,51877.04688
0.5 mA,exp1,3559.86621,51874.16016
0.5 mA,exp1,3559.16113,51774.20703
0.5 mA,exp1,3558.45606,51767.98828
0.5 mA,exp1,3557.75098,51617.89844
0.5 mA,exp1,3557.0459,52391.16797
0.5 mA,exp1,3556.33984,51749.33594
0.5 mA,exp1,3555.63379,52264.79688
0.5 mA,exp1,3554.92871,52579.45313
0.5 mA,exp1,3554.22266,52766.96484
0.5 mA,exp1,3553.5166,52031.94531
0.5 mA,exp1,3552.81055,52045.71875
0.5 mA,exp1,3552.10352,52664.20703
0.5 mA,exp1,3551.39746,52504.15234
0.5 mA,exp1,3550.69043,52504.46094
0.5 mA,exp1,3549.9834,53316.18359
0.5 mA,exp1,3549.27734,52932.40625
0.5 mA,exp1,3548.57031,52224.99219
0.5 mA,exp1,3547.86231,52589.10938
0.5 mA,exp1,3547.15527,53283.41797
0.5 mA,exp1,3546.44824,52706.42969
0.5 mA,exp1,3545.74023,52366.46875
0.5 mA,exp1,3545.0332,53590.66406
0.5 mA,exp1,3544.3252,53424.03906
0.5 mA,exp1,3543.61719,53487.48828
0.5 mA,exp1,3542.90918,53127.625
0.5 mA,exp1,3542.20117,53301.06641
0.5 mA,exp1,3541.49219,53827.60938
0.5 mA,exp1,3540.78418,53511.17969
0.5 mA,exp1,3540.0752,53717.75
0.5 mA,exp1,3539.36621,53814.35938
0.5 mA,exp1,3538.6582,53974.18359
0.5 mA,exp1,3537.94824,53571.40234
0.5 mA,exp1,3537.23926,53864.32813
0.5 mA,exp1,3536.53027,53664.68359
0.5 mA,exp1,3535.82129,54409.92578
0.5 mA,exp1,3535.11133,54326.66406
0.5 mA,exp1,3534.40137,54506.15234
0.5 mA,exp1,3533.69238,54313.17578
0.5 mA,exp1,3532.98242,54579.02344
0.5 mA,exp1,3532.27246,54080.31641
0.5 mA,exp1,3531.56152,54236.44531
0.5 mA,exp1,3530.85156,53920.71484
0.5 mA,exp1,3530.14063,54996.96875
0.5 mA,exp1,3529.43066,54505.18359
0.5 mA,exp1,3528.71973,55275.42188
0.5 mA,exp1,3528.00879,55006.20313
0.5 mA,exp1,3527.29785,54976.07813
0.5 mA,exp1,3526.58691,55218.10547
0.5 mA,exp1,3525.87598,55055.21875
0.5 mA,exp1,3525.16406,54935.51953
