sample,experiment,wn,int,current_A,cell_voltage
50 mA,exp1,3644.85938,3529.90405,0.05,3.69
50 mA,exp1,3644.16992,3614.83398,0.05,3.69
50 mA,exp1,3643.48047,3781.8728,0.05,3.69
50 mA,exp1,3642.79102,3637.45923,0.05,3.69
50 mA,exp1,3642.10059,3749.69214,0.05,3.69
50 mA,exp1,3641.41113,3642.96411,0.05,3.69
50 mA,exp1,3640.7207,3700.43481,0.05,3.69
50 mA,exp1,3640.03125,3788.65845,0.05,3.69
50 mA,exp1,3639.34082,3692.23779,0.05,3.69
50 mA,exp1,3638.65039,3729.15869,0.05,3.69
50 mA,exp1,3637.95996,3629.3667,0.05,3.69
50 mA,exp1,3637.26856,3611.61548,0.05,3.69
50 mA,exp1,3636.57813,3727.10376,0.05,3.69
50 mA,exp1,3635.88672,3576.13281,0.05,3.69
50 mA,exp1,3635.19629,3613.04053,0.05,3.69
50 mA,exp1,3634.50488,3728.46436,0.05,3.69
50 mA,exp1,3633.81348,3789.22632,0.05,3.69
50 mA,exp1,3633.12207,3716.85547,0.05,3.69
50 mA,exp1,3632.43066,3682.04785,0.05,3.69
50 mA,exp1,3631.73828,3582.42822,0.05,3.69
50 mA,exp1,3631.04688,3783.03149,0.05,3.69
50 mA,exp1,3630.35449,3604.98608,0.05,3.69
50 mA,exp1,3629.66309,3706.62256,0.05,3.69
50 mA,exp1,3628.9707,3617.29907,0.05,3.69
50 mA,exp1,3628.27832,3647.31274,0.05,3.69
50 mA,exp1,3627.58594,3667.09106,0.05,3.69
50 mA,exp1,3626.89356,3615.30566,0.05,3.69
50 mA,exp1,3626.2002,3682.77783,0.05,3.69
50 mA,exp1,3625.50781,3644.63306,0.05,3.69
50 mA,exp1,3624.81445,3681.42481,0.05,3.69
50 mA,exp1,3624.12109,3646.69873,0.05,3.69
50 mA,exp1,3623.42871,3734.54102,0.05,3.69
50 mA,exp1,3622.73535,3696.41431,0.05,3.69
50 mA,exp1,3622.04102,3722.95972,0.05,3.69
50 mA,exp1,3621.34766,3688.25098,0.05,3.69
50 mA,exp1,3620.6543,3912.09351,0.05,3.69
50 mA,exp1,3619.95996,3744.71606,0.05,3.69
50 mA,exp1,3619.2666,3635.20972,0.05,3.69
50 mA,exp1,3618.57227,3780.73926,0.05,3.69
50 mA,exp1,3617.87793,3722.25586,0.05,3.69
50 mA,exp1,3617.18359,3680.7876,0.05,3.69
50 mA,exp1,3616.48926,3917.97607,0.05,3.69
50 mA,exp1,3615.79395,3869.69165,0.05,3.69
50 mA,exp1,3615.09961,3831.61548,0.05,3.69
50 mA,exp1,3614.4043,3759.59106,0.05,3.69
50 mA,exp1,3613.70996,3799.64697,0.05,3.69
50 mA,exp1,3613.01465,3649.5708,0.05,3.69
50 mA,exp1,3612.31934,3737.15234,0.05,3.69
50 mA,exp1,3611.62402,3834.88257,0.05,3.69
50 mA,exp1,3610.92773,3644.16528,0.05,3.69
50 mA,exp1,3610.23242,3864.00488,0.05,3.69
50 mA,exp1,3609.53711,3727.62134,0.05,3.69
50 mA,exp1,3608.84082,3787.97778,0.05,3.69
50 mA,exp1,3608.14453,3811.01538,0.05,3.69
50 mA,exp1,3607.44824,3786.58496,0.05,3.69
50 mA,exp1,3606.75195,3758.77393,0.05,3.69
50 mA,exp1,3606.05566,3852.9668,0.05,3.69
50 mA,exp1,3605.35938,3801.43701,0.05,3.69
50 mA,exp1,3604.66309,3780.41309,0.05,3.69
50 mA,exp1,3603.96582,3806.81274,0.05,3.69
50 mA,exp1,3603.26856,3870.45068,0.05,3.69
50 mA,exp1,3602.57227,3832.49731,0.05,3.69
50 mA,exp1,3601.875,3737.01318,0.05,3.69
50 mA,exp1,3601.17773,3702.48218,0.05,3.69
50 mA,exp1,3600.47949,3644.27783,0.05,3.69
50 mA,exp1,3599.78223,3802.61353,0.05,3.69
50 mA,exp1,3599.08496,3825.59131,0.05,3.69
50 mA,exp1,3598.38672,3797.83276,0.05,3.69
50 mA,exp1,3597.68848,3756.55908,0.05,3.69
50 mA,exp1,3596.99023,3789.67407,0.05,3.69
50 mA,exp1,3596.29199,3785.59668,0.05,3.69
50 mA,exp1,3595.59375,3893.04028,0.05,3.69
50 mA,exp1,3594.89551,3821.37012,0.05,3.69
50 mA,exp1,3594.19727,3844.31372,0.05,3.69
50 mA,exp1,3593.49805,3917.91138,0.05,3.69
50 mA,exp1,3592.79981,3873.29077,0.05,3.69
50 mA,exp1,3592.10059,3906.34058,0.05,3.69
50 mA,exp1,3591.40137,3838.10864,0.05,3.69
50 mA,exp1,3590.70215,3800.27686,0.05,3.69
50 mA,exp1,3590.00293,3819.82373,0.05,3.69
50 mA,exp1,3589.30273,3967.5669,0.05,3.69
50 mA,exp1,3588.60352,3875.76099,0.05,3.69
50 mA,exp1,3587.90332,3858.18481,0.05,3.69
50 mA,exp1,3587.2041,3914.79688,0.05,3.69
50 mA,exp1,3586.50391,3863.50659,0.05,3.69
50 mA,exp1,3585.80371,3744.82129,0.05,3.69
50 mA,exp1,3585.10352,3966.55542,0.05,3.69
50 mA,exp1,3584.40332,3982.67212,0.05,3.69
50 mA,exp1,3583.70215,3796.65356,0.05,3.69
50 mA,exp1,3583.00195,3923.94556,0.05,3.69
50 mA,exp1,3582.30078,3903.01733,0.05,3.69
50 mA,exp1,3581.59961,3754.15234,0.05,3.69
50 mA,exp1,3580.89844,3941.97534,0.05,3.69
50 mA,exp1,3580.19727,3830.18042,0.05,3.69
50 mA,exp1,3579.49609,4031.38013,0.05,3.69
50 mA,exp1,3578.79492,3922.97412,0.05,3.69
50 mA,exp1,3578.09375,3942.43433,0.05,3.69
50 mA,exp1,3577.3916,4022.42529,0.05,3.69
50 mA,exp1,3576.68945,4085.57349,0.05,3.69
50 mA,exp1,3575.98828,3987.32275,0.05,3.69
50 mA,exp1,3575.28613,3885.74634,0.05,3.69
50 mA,exp1,3574.58398,3918.63745,0.05,3.69
50 mA,exp1,3573.88086,3995.19824,0.05,3.69
50 mA,exp1,3573.17871,3960.86621,0.05,3.69
50 mA,exp1,3572.47559,3939.98267,0.05,3.69
50 mA,exp1,3571.77344,3959.40552,0.05,3.69
50 mA,exp1,3571.07031,3988.89429,0.05,3.69
50 mA,exp1,3570.36719,3988.15845,0.05,3.69
50 mA,exp1,3569.66406,3970.64087,0.05,3.69
50 mA,exp1,3568.96094,3896.08081,0.05,3.69
50 mA,exp1,3568.25781,3945.6897,0.05,3.69
50 mA,exp1,3567.55371,4015.40723,0.05,3.69
50 mA,exp1,3566.85059,4071.68335,0.05,3.69
50 mA,exp1,3566.14648,3926.73926,0.05,3.69
50 mA,exp1,3565.44238,4003.12671,0.05,3.69
50 mA,exp1,3564.73828,3965.51489,0.05,3.69
50 mA,exp1,3564.03418,4115.59863,0.05,3.69
50 mA,exp1,3563.33008,3923.84082,0.05,3.69
50 mA,exp1,3562.62598,3899.6648,0.05,3.69
50 mA,exp1,3561.9209,3952.53857,0.05,3.69
50 mA,exp1,3561.2168,4069.02344,0.05,3.69
50 mA,exp1,3560.51172,4101.75586,0.05,3.69
50 mA,exp1,3559.80664,3963.74023,0.05,3.69
50 mA,exp1,3559.10156,3795.65137,0.05,3.69
50 mA,exp1,3558.39648,4169.76025,0.05,3.69
50 mA,exp1,3557.69141,4249.2915,0.05,3.69
50 mA,exp1,3556.98535,4128.07617,0.05,3.69
50 mA,exp1,3556.28027,4217.61963,0.05,3.69
50 mA,exp1,3555.57422,4083.07837,0.05,3.69
50 mA,exp1,3554.86816,4055.57642,0.05,3.69
50 mA,exp1,3554.16211,3944.51416,0.05,3.69
50 mA,exp1,3553.45606,4013.97095,0.05,3.69
50 mA,exp1,3552.75,4066.69409,0.05,3.69
50 mA,exp1,3552.04395,4055.91943,0.05,3.69
50 mA,exp1,3551.33691,4041.80835,0.05,3.69
50 mA,exp1,3550.63086,4107.85547,0.05,3.69
50 mA,exp1,3549.92383,4207.26856,0.05,3.69
50 mA,exp1,3549.2168,4233.19824,0.05,3.69
50 mA,exp1,3548.50977,4158.98242,0.05,3.69
50 mA,exp1,3547.80273,4091.46802,0.05,3.69
50 mA,exp1,3547.0957,4234.18652,0.05,3.69
50 mA,exp1,3546.3877,4109.97022,0.05,3.69
50 mA,exp1,3545.68066,4082.52661,0.05,3.69
50 mA,exp1,3544.97266,4135.12744,0.05,3.69
50 mA,exp1,3544.26465,4067.67896,0.05,3.69
50 mA,exp1,3543.55664,4180.2666,0.05,3.69
50 mA,exp1,3542.84863,4166.16113,0.05,3.69
50 mA,exp1,3542.14063,4212.04199,0.05,3.69
50 mA,exp1,3541.43262,4028.01904,0.05,3.69
50 mA,exp1,3540.72363,4123.87451,0.05,3.69
50 mA,exp1,3540.01563,4089.80615,0.05,3.69
50 mA,exp1,3539.30664,4082.38892,0.05,3.69
50 mA,exp1,3538.59766,4151.54639,0.05,3.69
50 mA,exp1,3537.88867,4157.43457,0.05,3.69
50 mA,exp1,3537.17969,4146.68018,0.05,3.69
50 mA,exp1,3536.46973,4125.94775,0.05,3.69
50 mA,exp1,3535.76074,4328.11572,0.05,3.69
50 mA,exp1,3535.05078,4114.43994,0.05,3.69
50 mA,exp1,3534.3418,4349.79004,0.05,3.69
50 mA,exp1,3533.63184,4126.21436,0.05,3.69
50 mA,exp1,3532.92188,4205.23242,0.05,3.69
50 mA,exp1,3532.21191,4237.68945,0.05,3.69
50 mA,exp1,3531.50195,4213.64258,0.05,3.69
50 mA,exp1,3530.79102,4242.7627,0.05,3.69
50 mA,exp1,3530.08106,4188.82666,0.05,3.69
50 mA,exp1,3529.37012,4211.29785,0.05,3.69
50 mA,exp1,3528.65918,4213.8374,0.05,3.69
50 mA,exp1,3527.94824,4163.25586,0.05,3.69
50 mA,exp1,3527.23731,4179.08008,0.05,3.69
50 mA,exp1,3526.52637,4181.62305,0.05,3.69
50 mA,exp1,3525.81543,4386.57129,0.05,3.69
50 mA,exp1,3525.10449,4219.88086,0.05,3.69
50 mA,exp1,3524.39258,4195.8794,0.05,3.69
50 mA,exp1,3523.68066,4181.83496,0.05,3.69
50 mA,exp1,3522.96875,4310.36963,0.05,3.69
50 mA,exp1,3522.25684,4309.56885,0.05,3.69
50 mA,exp1,3521.54492,4278.93848,0.05,3.69
50 mA,exp1,3520.83301,4351.04785,0.05,3.69
50 mA,exp1,3520.12109,4303.85449,0.05,3.69
50 mA,exp1,3519.4082,4422.30811,0.05,3.69
50 mA,exp1,3518.69531,4447.98193,0.05,3.69
50 mA,exp1,3517.9834,4370.99365,0.05,3.69
50 mA,exp1,3517.27051,4539.0293,0.05,3.69
50 mA,exp1,3516.55762,4518.32471,0.05,3.69
50 mA,exp1,3515.84375,4365.24707,0.05,3.69
50 mA,exp1,3515.13086,4235.38818,0.05,3.69
50 mA,exp1,3514.41797,4449.63867,0.05,3.69
50 mA,exp1,3513.7041,4309.88916,0.05,3.69
50 mA,exp1,3512.99023,4418.22022,0.05,3.69
50 mA,exp1,3512.27637,4414.09131,0.05,3.69
50 mA,exp1,3511.5625,4383.51758,0.05,3.69
50 mA,exp1,3510.84863,4356.26025,0.05,3.69
50 mA,exp1,3510.13477,4375.27686,0.05,3.69
50 mA,exp1,3509.41992,4400.89453,0.05,3.69
50 mA,exp1,3508.70606,4528.90625,0.05,3.69
50 mA,exp1,3507.99121,4481.82422,0.05,3.69
50 mA,exp1,3507.27637,4424.85352,0.05,3.69
50 mA,exp1,3506.56152,4344.79297,0.05,3.69
50 mA,exp1,3505.84668,4390.19629,0.05,3.69
50 mA,exp1,3505.13184,4267.26807,0.05,3.69
50 mA,exp1,3504.41602,4474.35205,0.05,3.69
50 mA,exp1,3503.70117,4414.13525,0.05,3.69
50 mA,exp1,3502.98535,4505.66895,0.05,3.69
50 mA,exp1,3502.27051,4234.40723,0.05,3.69
50 mA,exp1,3501.55469,4319.3457,0.05,3.69
50 mA,exp1,3500.83789,4509.74268,0.05,3.69
50 mA,exp1,3500.12207,4406.72607,0.05,3.69
50 mA,exp1,3499.40625,4379.5415,0.05,3.69
50 mA,exp1,3498.68945,4378.72461,0.05,3.69
